quarter,nii,niinc,nie,ppnr
2022-01-01,6.503063360128881,4.9310088183631064,7.010048168185282,4.424024010306706
2022-04-01,6.602057616116811,4.800314447538851,6.997769999871395,4.404602063784266
2022-07-01,6.782248929027191,4.6747004122568425,7.048621858859152,4.408327482424882
2022-10-01,6.908937990634307,4.618323824710714,7.096383568320593,4.430878247024428
2023-01-01,7.013777791609019,4.567027572706835,7.146627022572007,4.434178341743847
2023-04-01,6.969930769091082,4.631507724973028,7.146012628018254,4.455425866045856
2023-07-01,6.89892201745146,4.682803976976907,7.115680560087349,4.4660454343410185
2023-10-01,6.816820953164235,4.77030566051735,7.100128909014292,4.486997704667293
2024-01-01,6.730190007906586,4.8216019125212295,7.060602342585237,4.4911895778425786
