quarter,nii,niinc,nie,ppnr
2022-01-01,5.37069096341361,4.147811761099532,6.033288368070502,3.485214356442639
2022-04-01,4.18107597624367,3.3923935305798967,5.07067586603248,2.5027936407910865
2022-07-01,2.9417359555929927,2.8007073421561897,4.1556185130301575,1.5868247847190249
2022-10-01,1.7492072695330632,2.6001464561322867,3.466415105988772,0.8829386196765778
2023-01-01,1.0,2.7867498433430407,3.152801939230652,0.6339479041123885
2023-04-01,1.0,3.201865797234768,3.30862713318154,0.8932386640532286
2023-07-01,1.1851887389410565,3.666521269084797,3.5655490221050603,1.2861609859207932
2023-10-01,1.6711375832581303,3.9623643632966505,3.932024466967285,1.701477479587496
2024-01-01,2.374622801262815,4.258207457508504,4.426531730540034,2.2062985282312857
